区域,国家,机场,国内机场,航司,航班号,周几,备注
北美,美国,纽约 (JFK),上海 (PVG),东航 (MU),MU588 / MU587,周三 / 周二,
北美,美国,西雅图 (SEA),上海 (PVG),达美 (DL),DL287 / DL288,周四 / 周六,经停 首尔 (ICN)
北美,美国,底特律 (DTW),上海 (PVG),达美 (DL),DL283 / DL284,周五 / 周日,经停 首尔 (ICN)
北美,美国,旧金山 (SFO),上海 (PVG),美联航 (UA),UA857 / UA858,周三和周六 / 周四和周日,经停 首尔 (ICN)
北美,美国,洛杉矶 (LAX),北京 (PEK),国航 (CA),CA988 / CA987,周日 / 周日,第一入境点 天津 (TSN)
北美,美国,洛杉矶 (LAX),广州 (CAN),南航 (CZ),CZ328 / CZ327,周日 / 周六,
北美,美国,洛杉矶 (LAX),厦门 (XMN),厦航 (MF),MF830 / MF829,周一 / 周日,
北美,加拿大,多伦多 (YYZ),上海 (PVG),东航 (MU),MU208 / MU207,周六 / 周五,
北美,加拿大,多伦多 (YYZ),北京 (PEK),海航 (HU),HU7976 / HU7975,周三 / 周二,第一入境点 西安 (XIY)
北美,加拿大,温哥华 (YVR),北京 (PEK),国航 (CA),CA992 / CA991,周日 / 周日,第一入境点 沈阳 (SHE)
北美,加拿大,温哥华 (YVR),广州 (CAN),南航 (CZ),CZ330 / CZ329,周三 / 周二,
北美,加拿大,温哥华 (YVR),厦门 (XMN),厦航 (MF),MF806 / MF805,周五 / 周四,
北美,加拿大,温哥华 (YVR),成都 (CTU),川航 (3U),3U8502 / 3U8501,周三 / 周二,
东亚,韩国,首尔 (ICN),上海 (PVG),东航 (MU),MU5402 / MU5401,周五 / 周五,
东亚,韩国,济州 (CJU),上海 (PVG),春秋 (9C),9C8570 / 9C8569,周一 / 周一,
东亚,韩国,首尔 (ICN),北京 (PEK),国航 (CA),CA124 / CA123,周五 / 周五,第一入境点 青岛 (TAO)
东亚,韩国,首尔 (ICN),厦门 (XMN),厦航 (MF),MF872 / MF871,周一 / 周一,
东亚,韩国,首尔 (ICN),青岛 (TAO),山东航空 (SC),SC4088 / SC4087,周五 / 周五,
东亚,韩国,首尔 (ICN),青岛 (TAO),青岛航空 (QW),QW9902 / QW9901,周六 / 周六,
东亚,韩国,首尔 (ICN),沈阳 (SHE),南航 (CZ),CZ682 / CZ681,周日 / 周日,
东亚,韩国,首尔 (ICN),沈阳 (SHE),大韩 (KE),KE831 / KE832,周五 / 周五,
东亚,韩国,首尔 (ICN),威海 (WEH),济州航空 (7C),7C8501 / 7C8502,周三 / 周三,
东亚,韩国,首尔 (ICN),长春 (CGQ),韩亚 (OZ),OZ303 / OZ304,周二 / 周二,
